EIA_ID,plant,state,bal_auth,original 10k bus,capacity,new bus
152,Davis,AZ,WALC,40732,254.8,bus_40008
153,Glen Canyon,AZ,WALC,40924,1312,bus_40787
154,Hoover Dam (NV),NV,WALC,30451,1039.4,bus_30220
217,Balch 1,CA,CISO,23487,31,bus_23060
218,Balch 2,CA,CISO,23487,97.2,bus_23060
219,Belden,CA,CISO,20295,117.9,bus_20136
220,Bucks Creek,CA,CISO,20357,66,bus_20136
221,Butt Valley,CA,CISO,20472,40,bus_30001
222,Caribou 1,CA,CISO,20376,73.8,bus_20136
223,Caribou 2,CA,CISO,20376,117.9,bus_20136
229,Cow Creek,CA,CISO,20369,1.4,bus_20136
231,Cresta,CA,CISO,20330,73.8,bus_20136
235,Drum 1,CA,CISO,20410,49.2,bus_20136
236,Drum 2,CA,CISO,20410,53.1,bus_20136
239,Electra,CA,CISO,23277,102.5,bus_20136
240,Haas,CA,CISO,23319,135,bus_23060
241,Halsey,CA,CISO,20344,13.6,bus_20136
242,Hamilton Branch,CA,CISO,20472,5.3,bus_30001
249,James B Black,CA,CISO,20319,168.6,bus_13366
254,Kings River,CA,CISO,23307,48.6,bus_23060
265,Pit 1,CA,CISO,20525,69.2,bus_20136
266,Pit 3,CA,CISO,20323,80.1,bus_20136
267,Pit 4,CA,CISO,20353,103.4,bus_20136
268,Pit 5,CA,CISO,20319,141.6,bus_13366
269,Pit 6,CA,CISO,20494,79.2,bus_20026
270,Pit 7,CA,CISO,20367,109.8,bus_20136
272,Poe,CA,CISO,20379,142.8,bus_20136
275,Rock Creek,CA,CISO,20328,126,bus_20136
279,Salt Springs,CA,CISO,23490,42,bus_30001
285,Stanislaus,CA,CISO,23423,81.9,bus_23054
287,Tiger Creek,CA,CISO,23370,52.2,bus_20136
317,Big Creek 1,CA,CISO,23324,88.4,bus_23060
318,Big Creek 2,CA,CISO,23353,66.6,bus_23060
319,Big Creek 3,CA,CISO,23311,174.5,bus_23060
320,Big Creek 4,CA,CISO,23306,100,bus_23060
321,Big Creek 8,CA,CISO,23353,75,bus_23060
322,Big Creek 2A,CA,CISO,23353,110,bus_23060
328,Borel,CA,CISO,26205,12,bus_23060
337,Kaweah 1,CA,CISO,23485,2.3,bus_23060
340,Kern River No. 1,CA,CISO,26034,26.4,bus_25289
342,Lundy,CA,CISO,23393,3,bus_23060
344,Mammoth Pool,CA,CISO,23493,190,bus_23060
353,Poole,CA,CISO,23493,11.3,bus_23060
376,Pardee,CA,CISO,23278,23.6,bus_20136
380,Dion R Holm,CA,CISO,23338,156.8,bus_23060
381,Moccasin,CA,CISO,23281,100,bus_23054
382,R C Kirkwood,CA,CISO,23338,115.5,bus_23060
385,Drop 2,CA,IID,28736,10,bus_40004
386,Drop 3,CA,IID,28736,9.2,bus_40004
387,Drop 4,CA,IID,28736,19.6,bus_40004
388,Pilot Knob,CA,IID,28915,33,bus_40004
391,Big Pine,CA,LDWP,23363,3.2,bus_23060
393,Control Gorge,CA,LDWP,23363,37.5,bus_23060
394,Cottonwood,CA,LDWP,23333,1.6,bus_28099
398,Haiwee,CA,LDWP,23333,5.6,bus_28099
401,Middle Gorge,CA,LDWP,23337,37.5,bus_23060
402,Pleasant Valley,CA,LDWP,23363,3.2,bus_23060
407,Upper Gorge,CA,LDWP,23393,37.5,bus_23060
409,Exchequer,CA,CISO,23469,94.5,bus_23054
410,McSwain,CA,CISO,23469,9,bus_23054
412,Chicago Park,CA,CISO,20505,44,bus_20136
415,Donnells,CA,CISO,23272,72,bus_23060
418,Kelly Ridge,CA,CISO,20439,10,bus_20136
419,Woodleaf,CA,CISO,20383,67.2,bus_20136
424,French Meadows,CA,CISO,20283,15.3,bus_20136
425,Middle Fork,CA,CISO,20418,122.4,bus_20136
426,Oxbow,CA,CISO,20454,6.1,bus_20136
427,Ralston,CA,CISO,20454,79.2,bus_20136
430,Camino,CA,BANC,20541,157.8,bus_20136
431,Jaybird,CA,BANC,20541,161.6,bus_20136
432,Loon Lake,CA,BANC,20283,74.1,bus_20136
433,Robbs Peak,CA,BANC,20406,25.5,bus_20136
435,White Rock/Slab Creek,CA,BANC,20313,266.5,bus_20136
437,Edward C Hyatt,CA,CISO,20439,644.1,bus_20136
439,Don Pedro,CA,TIDC,23502,170.8,bus_23060
440,La Grange,CA,TIDC,23503,4.5,bus_23060
441,Folsom,CA,WALC,20396,198.6,bus_20136
442,Judge F Carr,CA,WALC,20482,154.4,bus_20026
443,Keswick,CA,WALC,20462,117,bus_20026
445,Shasta,CA,WALC,20390,714,bus_20026
447,Parker,CA,WALC,28991,120,bus_40006
450,Spring Creek,CA,WALC,20479,180,bus_20026
451,Trinity,CA,WALC,20351,140,bus_20026
454,Colgate,CA,CISO,20544,315,bus_20136
455,Narrows 2,CA,CISO,20372,46.7,bus_20136
472,Georgetown,CO,PSCO,60746,1.2,bus_60194
474,Salida No. 1,CO,PSCO,60827,0.6,bus_60003
476,Shoshone,CO,PSCO,60848,14.4,bus_60003
489,Upper Dawson,CA,TIDC,23503,4.4,bus_23060
505,Boysen,WY,WAUW,70111,15,bus_70063
512,Blue Mesa,CO,WACM,60811,86.4,bus_60003
513,Estes,CO,WACM,60856,45,bus_60194
514,Morrow Point,CO,WACM,60807,173.2,bus_60003
515,Big Thompson,CO,WACM,60783,4.5,bus_60194
516,Green Mountain,CO,WACM,60798,26,bus_60003
517,Marys Lake,CO,WACM,60857,8.1,bus_60194
519,Pole Hill,CO,WACM,60722,38.2,bus_60194
520,Lower Molina,CO,WACM,60847,5.6,bus_60003
521,Upper Molina,CO,WACM,60847,9.9,bus_60003
534,Jones Fork,CA,BANC,20407,10,bus_20136
537,Camanche,CA,CISO,20470,10.8,bus_23060
584,Navajo Dam,NM,WACM,53222,30,bus_60000
585,Drop 1,CA,IID,40722,5.7,bus_40004
586,East Highline,CA,IID,28733,2.4,bus_40004
622,South Fork Tolt,WA,SCL,10925,16.8,bus_10228
682,Kerckhoff 2,CA,CISO,23293,139.5,bus_23060
790,Gem State,ID,PACE,74268,23.4,bus_70000
809,American Falls,ID,IPCO,74313,92.4,bus_50196
810,Bliss,ID,IPCO,74261,75,bus_50007
811,Brownlee,ID,IPCO,74252,675,bus_13446
812,C J Strike,ID,IPCO,74307,82.8,bus_74001
813,Cascade,ID,IPCO,13544,12.4,bus_13446
814,Clear Lake,ID,IPCO,74333,2.5,bus_74104
815,Lower Malad,ID,IPCO,74199,13.5,bus_74104
816,Lower Salmon,ID,IPCO,74199,60,bus_74104
818,Shoshone Falls,ID,IPCO,74322,11.5,bus_50196
819,Swan Falls,ID,IPCO,74228,25,bus_74001
821,Twin Falls,ID,IPCO,74322,52.7,bus_50196
822,Upper Salmon A,ID,IPCO,74332,18,bus_74104
827,Grace,ID,PACE,74317,33,bus_50196
829,Oneida,ID,PACE,74284,30,bus_50196
831,Soda,ID,PACE,74318,14.5,bus_50196
833,Cabinet Gorge,ID,AVA,74236,265.2,bus_74235
835,Post Falls,ID,AVA,74212,14.5,bus_10677
850,Palisades,ID,BPAT,74196,176.4,bus_70000
