EIA_ID,month,nameplate,capability
2,Jan,53.9,53
2,Feb,53.9,53
2,Mar,53.9,53
2,Apr,53.9,53
2,May,53.9,53
2,Jun,53.9,53
2,Jul,53.9,53
2,Aug,53.9,53
2,Sep,53.9,53
2,Oct,53.9,53
2,Nov,53.9,53
2,Dec,53.9,53
4,Jan,225,224.1
4,Feb,225,224.1
4,Mar,225,224.1
4,Apr,225,224.1
4,May,225,224.1
4,Jun,225,224.1
4,Jul,225,224.1
4,Aug,225,224.1
4,Sep,225,224.1
4,Oct,225,224.1
4,Nov,225,224.1
4,Dec,225,224.1
11,Jan,72.9,68.1
11,Feb,72.9,68.1
11,Mar,72.9,69.6
11,Apr,72.9,69.6
11,May,72.9,69.6
11,Jun,72.9,71.1
11,Jul,72.9,71.1
11,Aug,72.9,71.1
11,Sep,72.9,69.6
11,Oct,72.9,69.6
11,Nov,72.9,69.6
11,Dec,72.9,68.1
12,Jan,46.9,48
12,Feb,46.9,48
12,Mar,46.9,48
12,Apr,46.9,48
12,May,46.9,48
12,Jun,46.9,48
12,Jul,46.9,48
12,Aug,46.9,48
12,Sep,46.9,48
12,Oct,46.9,48
12,Nov,46.9,48
12,Dec,46.9,48
13,Jan,100,130
13,Feb,100,130
13,Mar,100,129.6
13,Apr,100,129.6
13,May,100,129.6
13,Jun,100,129.2
13,Jul,100,129.2
13,Aug,100,129.2
13,Sep,100,129.6
13,Oct,100,129.6
13,Nov,100,129.6
13,Dec,100,130
14,Jan,128.1,119.1
14,Feb,128.1,119.1
14,Mar,128.1,124.05
14,Apr,128.1,124.05
14,May,128.1,124.05
14,Jun,128.1,129
14,Jul,128.1,129
14,Aug,128.1,129
14,Sep,128.1,124.05
14,Oct,128.1,124.05
14,Nov,128.1,124.05
14,Dec,128.1,119.1
15,Jan,177,181.8
15,Feb,177,181.8
15,Mar,177,180.9
15,Apr,177,180.9
15,May,177,180.9
15,Jun,177,180
15,Jul,177,180
15,Aug,177,180
15,Sep,177,180.9
15,Oct,177,180.9
15,Nov,177,180.9
15,Dec,177,181.8
16,Jan,210.6,172.9
16,Feb,210.6,172.9
16,Mar,210.6,177.5
16,Apr,210.6,177.5
16,May,210.6,177.5
16,Jun,210.6,182.1
16,Jul,210.6,182.1
16,Aug,210.6,182.1
16,Sep,210.6,177.5
16,Oct,210.6,177.5
16,Nov,210.6,177.5
16,Dec,210.6,172.9
17,Jan,170,164.9
17,Feb,170,164.9
17,Mar,170,164
17,Apr,170,164
17,May,170,164
17,Jun,170,163.1
17,Jul,170,163.1
17,Aug,170,163.1
17,Sep,170,164
17,Oct,170,164
17,Nov,170,164
17,Dec,170,164.9
18,Jan,181,175
18,Feb,181,175
18,Mar,181,176.5
18,Apr,181,176.5
18,May,181,176.5
18,Jun,181,178
18,Jul,181,178
18,Aug,181,178
18,Sep,181,176.5
18,Oct,181,176.5
18,Nov,181,176.5
18,Dec,181,175
19,Jan,91,77.9
19,Feb,91,77.9
19,Mar,91,78.9
19,Apr,91,78.9
19,May,91,78.9
19,Jun,91,79.9
19,Jul,91,79.9
19,Aug,91,79.9
19,Sep,91,78.9
19,Oct,91,78.9
19,Nov,91,78.9
19,Dec,91,77.9
20,Jan,87.6,72.9
20,Feb,87.6,72.9
20,Mar,87.6,76.95
20,Apr,87.6,76.95
20,May,87.6,76.95
20,Jun,87.6,81
20,Jul,87.6,81
20,Aug,87.6,81
20,Sep,87.6,76.95
20,Oct,87.6,76.95
20,Nov,87.6,76.95
20,Dec,87.6,72.9
21,Jan,50.5,45
21,Feb,50.5,45
21,Mar,50.5,44.5
21,Apr,50.5,44.5
21,May,50.5,44.5
21,Jun,50.5,44
21,Jul,50.5,44
21,Aug,50.5,44
21,Sep,50.5,44.5
21,Oct,50.5,44.5
21,Nov,50.5,44.5
21,Dec,50.5,45
34,Jan,12.1,12.1
34,Feb,12.1,12.1
34,Mar,12.1,12.1
34,Apr,12.1,12.1
34,May,12.1,12.1
34,Jun,12.1,12.1
34,Jul,12.1,12.1
34,Aug,12.1,12.1
34,Sep,12.1,12.1
34,Oct,12.1,12.1
34,Nov,12.1,12.1
34,Dec,12.1,12.1
38,Jan,101.1,90
38,Feb,101.1,90
38,Mar,101.1,90
38,Apr,101.1,90
38,May,101.1,90
38,Jun,101.1,90
38,Jul,101.1,90
38,Aug,101.1,90
38,Sep,101.1,90
38,Oct,101.1,90
38,Nov,101.1,90
38,Dec,101.1,90
48,Jan,115.2,124.5
48,Feb,115.2,124.5
48,Mar,115.2,123.6
48,Apr,115.2,123.6
48,May,115.2,123.6
48,Jun,115.2,122.7
48,Jul,115.2,122.7
48,Aug,115.2,122.7
48,Sep,115.2,123.6
48,Oct,115.2,123.6
48,Nov,115.2,123.6
48,Dec,115.2,124.5
49,Jan,404,366
49,Feb,404,366
49,Mar,404,382.1
49,Apr,404,382.1
49,May,404,382.1
49,Jun,404,398.2
49,Jul,404,398.2
49,Aug,404,398.2
49,Sep,404,382.1
49,Oct,404,382.1
49,Nov,404,382.1
49,Dec,404,366
53,Jan,3,2.8
53,Feb,3,2.8
53,Mar,3,2.8
53,Apr,3,2.8
53,May,3,2.8
53,Jun,3,2.8
53,Jul,3,2.8
53,Aug,3,2.8
53,Sep,3,2.8
53,Oct,3,2.8
53,Nov,3,2.8
53,Dec,3,2.8
55,Jan,5.2,5.4
55,Feb,5.2,5.4
55,Mar,5.2,5.4
55,Apr,5.2,5.4
55,May,5.2,5.4
55,Jun,5.2,5.4
55,Jul,5.2,5.4
55,Aug,5.2,5.4
55,Sep,5.2,5.4
55,Oct,5.2,5.4
55,Nov,5.2,5.4
55,Dec,5.2,5.4
72,Jan,10.1,10.1
72,Feb,10.1,10.1
72,Mar,10.1,10.1
72,Apr,10.1,10.1
72,May,10.1,10.1
72,Jun,10.1,10.1
72,Jul,10.1,10.1
72,Aug,10.1,10.1
72,Sep,10.1,10.1
72,Oct,10.1,10.1
72,Nov,10.1,10.1
72,Dec,10.1,10.1
88,Jan,4.6,4.6
88,Feb,4.6,4.6
88,Mar,4.6,4.6
88,Apr,4.6,4.6
88,May,4.6,4.6
88,Jun,4.6,4.6
88,Jul,4.6,4.6
88,Aug,4.6,4.6
88,Sep,4.6,4.6
88,Oct,4.6,4.6
88,Nov,4.6,4.6
88,Dec,4.6,4.6
100,Jan,1.4,1.4
100,Feb,1.4,1.4
100,Mar,1.4,1.4
100,Apr,1.4,1.4
100,May,1.4,1.4
100,Jun,1.4,1.4
100,Jul,1.4,1.4
100,Aug,1.4,1.4
100,Sep,1.4,1.4
100,Oct,1.4,1.4
100,Nov,1.4,1.4
100,Dec,1.4,1.4
143,Jan,3,3
143,Feb,3,3
143,Mar,3,3
143,Apr,3,3
143,May,3,3
143,Jun,3,3
143,Jul,3,3
143,Aug,3,3
143,Sep,3,3
143,Oct,3,3
143,Nov,3,3
143,Dec,3,3
145,Jan,129.5,149
145,Feb,129.5,149
145,Mar,129.5,149
145,Apr,129.5,149
145,May,129.5,149
145,Jun,129.5,149
145,Jul,129.5,149
145,Aug,129.5,149
145,Sep,129.5,149
145,Oct,129.5,149
145,Nov,129.5,149
145,Dec,129.5,149
148,Jan,63.5,68.8
148,Feb,63.5,68.8
148,Mar,63.5,68.8
148,Apr,63.5,68.8
148,May,63.5,68.8
148,Jun,63.5,68.8
148,Jul,63.5,68.8
148,Aug,63.5,68.8
148,Sep,63.5,68.8
148,Oct,63.5,68.8
148,Nov,63.5,68.8
148,Dec,63.5,68.8
149,Jan,36,36
149,Feb,36,36
149,Mar,36,36
149,Apr,36,36
149,May,36,36
149,Jun,36,36
149,Jul,36,36
149,Aug,36,36
149,Sep,36,36
149,Oct,36,36
149,Nov,36,36
149,Dec,36,36
150,Jan,13,13
150,Feb,13,13
150,Mar,13,13
150,Apr,13,13
150,May,13,13
150,Jun,13,13
150,Jul,13,13
150,Aug,13,13
150,Sep,13,13
150,Oct,13,13
150,Nov,13,13
150,Dec,13,13
152,Jan,254.8,254.8
152,Feb,254.8,254.8
152,Mar,254.8,254.8
152,Apr,254.8,254.8
152,May,254.8,254.8
152,Jun,254.8,254.8
152,Jul,254.8,254.8
152,Aug,254.8,254.8
152,Sep,254.8,254.8
152,Oct,254.8,254.8
152,Nov,254.8,254.8
152,Dec,254.8,254.8
