fid,DamID,DamName,Lat,Lon,FlagType,InstllCap,MaxVol,MaxVolSrc,MinVol,MinVolSrc,MaxH,MinH,MaxHSrc,MinHSrc,NmEnrgy01a,NmEnrgy01b,NmEnrgy01c,NmEnrgy01d,DisDur01a,DisDur01b,DisDur01c,DisDur01d,HisMaxVol,HisMinVol,HisMeanVol,HisMedVol,HisVol_25,HisVol_75,HisMaxH,HisMinH,HisMeanH,HisMedH,HisH_25,HisH_75,HisSrc,HisPeriod,NmEnrgy02a,NmEnrgy02b,NmEnrgy02c,NmEnrgy02d,NmEnrgy02e,NmEnrgy02f,DisDur02a,DisDur02b,DisDur02c,DisDur02d,DisDur02e,DisDur02f
"1","1",NA,57.65149,-153.02665,Conventional storage dam,33.6,133.2,GRanDv1.3,133.2,GRanDv1.3,41.3,41.3,GRanDv1.3,GRanDv1.3,14990.661,14990.661,7495.3305,7495.3305,446.150625,446.150625,223.0753125,223.0753125,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"2","1458",NA,45.52571,-89.2052,Conventional storage dam,-99999,61.6,GRanDv1.3,61.6,GRanDv1.3,1.4,1.4,GRanDv1.3,GRanDv1.3,235.004,235.004,117.502,117.502,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"3","2037",NA,46.18788,-69.31467,Conventional storage dam,-99999,13.3,GRanDv1.3,13.3,GRanDv1.3,2.8,2.8,GRanDv1.3,GRanDv1.3,101.479,101.479,50.7395,50.7395,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"4","2046",NA,45.82058,-69.16358,Conventional storage dam,-99999,14.9,GRanDv1.3,14.9,GRanDv1.3,2.1,2.1,GRanDv1.3,GRanDv1.3,85.26525,85.26525,42.632625,42.632625,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"5","2256",NA,18.27566,-66.6551,Conventional storage dam,-99999,67.8,GRanDv1.3,67.8,GRanDv1.3,51.1,51.1,GRanDv1.3,GRanDv1.3,9440.9805,9440.9805,4720.49025,4720.49025,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"6","4",NA,56.98678,-135.11281,Conventional storage dam,18.6,115.9,GRanDv1.3,115.9,GRanDv1.3,44.8,44.8,GRanDv1.3,GRanDv1.3,14149.072,14149.072,7074.536,7074.536,760.702795698925,760.702795698925,380.351397849462,380.351397849462,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"7","50",NA,47.69481,-121.6879,Conventional storage dam,-99999,84.4,GRanDv1.3,84.4,GRanDv1.3,42.7,42.7,GRanDv1.3,GRanDv1.3,9820.573,9820.573,4910.2865,4910.2865,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"8","739",NA,48.00095,-91.73126,Conventional storage dam,-99999,21.7,GRanDv1.3,21.7,GRanDv1.3,14,14,GRanDv1.3,GRanDv1.3,827.855,827.855,413.9275,413.9275,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"9",AK00001,COOPER LAKE,60.43371,-149.82315,Conventional storage dam,19.4,310.66,HydroLAKES,138.14976,NID2019,11.09472,11.09472,NID2019,NID2019,9392.21857392,4176.69716685312,4696.10928696,2088.34858342656,484.134978037113,215.293668394491,242.067489018557,107.646834197245,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"10",AK00002,BLUE LAKE,57.0633,-135.1917,Conventional storage dam,17.44,328.10568,NID2019,179.1,GRanDv1.3,41.4528,30.8,NID2019,GRanDv1.3,37062.4501344384,15031.863,18531.2250672192,7515.9315,2125.14048936,861.91875,1062.57024468,430.959375,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"11",AK00003,SALMON CREEK,58.34185,-134.40361,Conventional storage dam,8.5,14.80176,NID2019,9.98,HydroLAKES,37.338,37.338,NID2019,NID2019,1506.020613048,1015.425579,753.010306524,507.7127895,177.178895652706,119.461832823529,88.5894478263529,59.7309164117647,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"12",AK00004,ANNEX CREEK,58.32694,-134.12658,Conventional storage dam,4,28.863432,NID2019,23.11,HydroLAKES,4.2672,4.2672,NID2019,NID2019,335.62745090784,268.7258532,167.81372545392,134.3629266,83.90686272696,67.1814633,41.95343136348,33.59073165,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"13",AK00005,CRYSTAL LAKE,56.59953,-132.8303,Conventional storage dam,1.6,11.36,HydroLAKES,6.414096,NID2019,9.144,9.144,NID2019,NID2019,283.061664,159.8225956704,141.530832,79.9112978352,176.91354,99.889122294,88.45677,49.944561147,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"14",AK00006,KETCHIKAN LAKES,55.3594,-131.6203,Conventional storage dam,4.2,17,GRanDv1.3,14.13938124,NID2019,7.25424,7,NID2019,GRanDv1.3,336.052668,269.708697153,168.026334,134.8543485765,80.01254,64.216356465,40.00627,32.1081782325,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"15",AK00007,UPPER SILVIS,55.37952,-131.52051,Conventional storage dam,2.1,46.9,GRanDv1.3,27.13656,NID2019,12.8016,12.6,NID2019,GRanDv1.3,1636.076484,931.7337876,818.038242,465.8668938,779.08404,443.682756,389.54202,221.841378,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
