plant,NERC,EHA_ID,EIA_ID,NID_ID,lat,lon,state,county,HUC,bal_auth,mode,n_units,CH_MW,CH_MWh
Squa Pan Hydro Station,NPCC,hc1428_p01,1516,ME00234,46.5563,-68.3257,ME,Aroostook,10100040901,NBSO,Peaking,1,1.5,881.4
Caribou Generation Station,NPCC,hc1427_p01,1513,ME00227,46.8488,-68.0022,ME,Aroostook,10100041009,NBSO,Run-of-river,2,0.8,3765.37
McKay,NPCC,hc1497_p01,54134,ME00204,45.8815,-69.1767,ME,Piscataquis,10200010509,ISNE,Peaking,3,37.6,197413.5164
North Twin,NPCC,hc1495_p01,54134,ME00203,45.6346,-68.7813,ME,Penobscot,10200010905,ISNE,Peaking,3,9.6,50403.451
Millinocket,NPCC,hc1494_p01,54134,ME00202,45.6374,-68.73,ME,Penobscot,10200010907,ISNE,Run-of-river/Upstream Peaking,8,41.1,215789.7746
East Millinocket,NPCC,hc1492_p01,54134,ME00200,45.6209,-68.5764,ME,Penobscot,10200011007,ISNE,Run-of-river/Upstream Peaking,6,9.6,50403.451
Dolby,NPCC,hc1493_p01,54134,ME00201,45.6325,-68.6075,ME,Penobscot,10200011007,ISNE,Run-of-river/Upstream Peaking,7,20.9,109732.5131
Medway,NPCC,hc1643_p01,55288,ME00199,45.6074,-68.5459,ME,Penobscot,10200011007,ISNE,Run-of-river,5,4,28013.29
Corriveau,NPCC,hc7504_p01,NA,ME00169,45.1116312,-69.4487106,ME,Oxford,10200040201,NA,Run-of-river,3,0.35,NA
Moosehead,NPCC,hc7145_p01,NA,ME00157,45.1836,-69.2304,ME,Piscataquis,10200040203,NA,NA,1,0.3,NA
Brown's Mill,NPCC,hc7126_p01,NA,ME00156,45.1835,-69.2194,ME,Piscataquis,10200040205,NA,NA,2,0.594,2500
Sebec,NPCC,hc7251_p01,NA,ME00163,45.2702,-69.116,ME,Piscataquis,10200040311,NA,NA,2,0.867,2160
Milo,NPCC,hc7131_p01,NA,ME00162,45.2511,-68.9883,ME,Piscataquis,10200040312,NA,NA,3,0.695,NA
Mattaceunk (Weldon),NPCC,hc1496_p01,54134,ME00143,45.5703,-68.4095,ME,Penobscot,10200050104,ISNE,Run-of-river,4,19.2,100806.902
West Enfield,NPCC,hc1605_p01,10255,NA,45.2501,-68.6495,ME,Penobscot,10200050208,ISNE,Run-of-river,2,13,103069.24
Lowell Tannery,NPCC,hc1839_p01,50699,ME83014,45.1866,-68.4652,ME,Penobscot,10200050311,ISNE,Run-of-river,1,1,4620.41
Orono,NPCC,hc1667_p01,57184,ME00138,44.8835,-68.6652,ME,Penobscot,10200050510,ISNE,Run-of-river,4,2.7,12749.5
Orono B,NPCC,hc1667_p02,59438,ME00138,44.884444,-68.663889,ME,Penobscot,10200050510,ISNE,NA,3,3.9,26557
Stillwater Hydro Station,NPCC,hc1669_p01,1478,ME00139,44.9111,-68.6841,ME,Penobscot,10200050510,ISNE,Run-of-river,4,1.8,11271.29
Stillwater B,NPCC,hc1669_p02,59437,ME00139,44.912667,-68.683833,ME,Penobscot,10200050510,ISNE,NA,3,2.4,12378.4
PPL Milford Hydro Station,NPCC,hc1547_p01,1475,ME00141,44.9409,-68.6477,ME,Penobscot,10200050603,ISNE,Run-of-river,6,7.8,48229.29
Foss Mill,NPCC,hc7305_p01,NA,ME83023,44.5316,-69.1455,ME,Waldo,10200050901,NA,NA,1,0.015,NA
Veazie Energy Recovery Hydro Plant,NPCC,hc7513_p01,NA,"NA",44.823856,-68.708925,ME,Penobscot,10200051003,NA,Canal/Conduit,1,0.075,590
Brassua Hydroelectric Project,NPCC,hc1613_p01,10555,ME00133,45.6601,-69.8134,ME,Somerset,10300010404,ISNE,NA,1,3.6,18467.05
Indian Pond,NPCC,hc1254_p01,1492,ME00090,45.4603,-69.8662,ME,Somerset,10300010610,ISNE,Peaking,4,76.4,229225.29
Eustis,NPCC,hc7453_p01,NA,ME00129,45.2176,-70.4761,ME,Franklin,10300020106,NA,Run-of-river,1,0.25,1501
Wyman Hydro,NPCC,hc1393_p01,1511,ME00089,45.0697,-69.9068,ME,Somerset,10300030106,ISNE,Peaking,3,72,389319.59
Williams,NPCC,hc1402_p01,1510,ME00088,44.9592,-69.8705,ME,Somerset,10300030301,ISNE,Reregulating,2,13,92015.65
Gilman Stream,NPCC,hc7267_p01,NA,ME00320,44.9239,-70.0244,ME,Somerset,10300030703,NA,NA,1,0.12,672
Starks,NPCC,hc7351_p01,NA,"NA",44.7305,-69.9625,ME,Somerset,10300031204,NA,NA,2,0.035,100
Abenaki,NPCC,hc1425_p01,10186,ME00086,44.7921,-69.8867,ME,Somerset,10300031301,ISNE,Run-of-river,8,20,96766.79113
Anson,NPCC,hc1426_p01,10186,ME00087,44.7984,-69.889,ME,Somerset,10300031301,ISNE,Run-of-river,5,9,43545.05601
Weston,NPCC,hc1392_p01,1509,ME00085,44.7636,-69.7185,ME,Somerset,10300031302,ISNE,Run-of-river,4,12,80517.35
Shawmut,NPCC,hc1384_p01,1504,ME00084,44.6309,-69.5835,ME,Kennebec,10300031507,ISNE,NA,8,8.8,49191.88
Lockwood - Old,NPCC,hc1583_p01,10066,ME00082,44.5484,-69.6269,ME,Kennebec,10300031507,ISNE,Run-of-river,6,4.8,22095.949
Lockwood - New,NPCC,hc1583_p02,10066,ME00082,44.5484,-69.6269,ME,Kennebec,10300031507,ISNE,Run-of-river,1,2.4,11047.9745
Hydro Kennebec Project,NPCC,hc1612_p01,54148,ME00083,44.5639,-69.6207,ME,Kennebec,10300031507,ISNE,Run-of-river,2,15.4,81184.12
Waverly Avenue,NPCC,hc7071_p01,NA,ME00111,44.7947,-69.3869,ME,Somerset,10300031702,NA,NA,1,0.4,NA
Pioneer,NPCC,hc7350_p01,NA,ME00110,44.786,-69.38,ME,Somerset,10300031702,NA,NA,2,0.3,1100
Burnham,NPCC,hc2141_p01,54124,ME00109,44.721,-69.412,ME,"Somerset, Waldo",10300031904,ISNE,Run-of-river/Peaking,3,1.1,4509.34
Freedom Falls,NPCC,hc7579_p01,NA,"NA",44.527828,-69.297638,ME,Waldo,10300032004,NA,Run-of-river,1,0.05,66
Benton Falls,NPCC,hc1881_p01,10523,ME96126,44.5819,-69.5532,ME,Kennebec,10300032106,ISNE,Run-of-river,2,4.2,17440.65
Automatic,NPCC,hc1566_p01,1499,ME00103,44.5473,-69.6436,ME,Kennebec,10300032205,NA,Run-of-river/Upstream Peaking,1,0.8,NA
Union Gas,NPCC,hc1567_p01,1500,ME00102,44.5342,-69.6527,ME,Kennebec,10300032205,ISNE,Reregulating,1,1.8,5403.65
